FIPS,perc_fluor,year,locationid,datatype,TEETHLOST,DENTALVISITS,high_cl_TEETHLOST,high_cl_DENTAL,low_cl_TEETHLOST,low_cl_DENTAL,SES,HC,REMS,HTT,TOTAL,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_MINRTY,TEETHLOST_pr,DENTALVISITS_pr,FLUORIDE_pr,SES_pr,HC_pr,REMS_pr,HTT_pr,TOTAL_pr,FIPS_num,POV150_pr,UNEMP_pr,HBURD_pr,NOHSDP_pr,UNINSU_pr,MINRTY_pr
01045,68.2,2020,1045,AgeAdjPrv,14.5,56.9,19.4,60.1,10.2,53.3,0.8832,0.8835,0.7027,0.3453,0.8065,30.5,9,24.1,14.7,10.8,31.8,0.5671471927162367,0.4176783004552352,0.40933232169954475,0.8725341426403642,0.874051593323217,0.6953717754172989,0.3566009104704097,0.7943854324734446,1045,0.7602427921092565,0.9301972685887708,0.6714719271623673,0.6646433990895296,0.6494688922610015,0.6953717754172989
01047,60.1,2020,1047,AgeAdjPrv,20.8,46.8,26.3,50.4,16.1,43.4,0.9659,0.8176,0.971,0.5904,0.9157,41.3,10.4,28.9,16.1,10.2,72.9,0.9374051593323217,0.07056145675265554,0.36987860394537175,0.9632018209408194,0.8023520485584219,0.9761001517450683,0.6058421851289834,0.9123672230652504,1047,0.9628224582701063,0.9654779969650986,0.8880880121396054,0.7291350531107739,0.6062215477996965,0.9761001517450683
01049,39.1,2020,1049,AgeAdjPrv,18.6,52.9,25.5,56.7,12.6,49.1,0.809,0.6951,0.5439,0.5232,0.7387,35.4,4.5,20.5,22,13.7,19.7,0.8471168437025797,0.2564491654021244,0.2936267071320182,0.7921092564491654,0.671092564491654,0.5295902883156297,0.5386949924127465,0.7211684370257967,1049,0.8915022761760243,0.424886191198786,0.38239757207890746,0.9267830045523521,0.8129742033383915,0.5295902883156297
01051,100,2020,1051,AgeAdjPrv,12,63.9,16.7,67.2,7.9,60.2,0.3393,0.4271,0.6458,0.5532,0.4564,18,4.1,21.9,12.7,7.3,26.9,0.3266312594840668,0.7310318664643399,0.802731411229135,0.3175265553869499,0.3971927162367223,0.6342943854324734,0.5671471927162367,0.4358877086494689,1051,0.2113050075872534,0.33801213960546284,0.4973444613050076,0.5580424886191199,0.3554628224582701,0.6342943854324734
01053,60.1,2020,1053,AgeAdjPrv,20.3,47.4,25.8,50.6,15.4,44.3,0.93,0.7543,0.7934,0.6168,0.8708,37.3,10.1,21.3,19.6,11.8,39.9,0.9237481031866465,0.082701062215478,0.36987860394537175,0.9245068285280729,0.7348254931714719,0.793247344461305,0.6312594840667678,0.8641881638846738,1053,0.9222306525037937,0.9613050075872535,0.44916540212443096,0.8653262518968133,0.7135811836115327,0.793247344461305
01055,75.3,2020,1055,AgeAdjPrv,15.1,59.4,20.6,62.6,10.4,55.7,0.7043,0.8246,0.5831,0.2833,0.6483,26.4,5.7,21.1,14.7,11.5,22.4,0.6160849772382397,0.5166919575113809,0.4552352048558422,0.6767830045523521,0.8099393019726859,0.5682852807283764,0.291350531107739,0.6263277693474962,1055,0.6062215477996965,0.6456752655538694,0.4317147192716237,0.6646433990895296,0.6976479514415781,0.5682852807283764
01057,75.8,2020,1057,AgeAdjPrv,16.7,55.3,22.1,59.1,12.1,51.5,0.8205,0.4618,0.4758,0.5229,0.6725,32.7,8,22.7,15.8,8.1,15.8,0.7302731411229135,0.3516691957511381,0.4594081942336874,0.8046282245827011,0.4309559939301973,0.4616843702579666,0.5383156297420334,0.6509863429438544,1057,0.828907435508346,0.8861911987860395,0.5671471927162367,0.716236722306525,0.4305766312594841,0.4616843702579666
01059,61.9,2020,1059,AgeAdjPrv,17.6,51.7,24.2,55.5,12.1,48.1,0.704,0.8463,0.606,0.4908,0.7298,33.3,4.8,17.2,21.3,11.7,23.7,0.7924886191198786,0.2113050075872534,0.37594840667678303,0.6764036418816388,0.834597875569044,0.5918057663125948,0.503793626707132,0.712443095599393,1059,0.8437025796661608,0.48179059180576633,0.1422610015174507,0.9108497723823976,0.7063732928679818,0.5918057663125948
01061,0,2020,1061,AgeAdjPrv,17.5,52.6,23.4,56.4,12.5,48.4,0.6458,0.7651,0.4949,0.2568,0.5691,33.9,3.7,19.1,18.2,11.7,16.8,0.783763277693475,0.24620637329286799,0,0.6149468892261002,0.7458270106221547,0.48179059180576633,0.26365705614567525,0.5459028831562974,1061,0.8562215477996965,0.2568285280728376,0.26365705614567525,0.8125948406676783,0.7063732928679818,0.48179059180576633
01063,45,2020,1063,AgeAdjPrv,25.6,44,31.4,47.6,19.6,40.4,0.9885,0.5191,0.985,0.8908,0.9513,51.2,12.7,25.3,19.1,16.6,82.8,0.9946889226100152,0.027693474962063733,0.3160091047040971,0.9874810318664643,0.48823975720789076,0.9882397572078907,0.8975720789074355,0.9495447647951442,1063,0.996206373292868,0.988619119878604,0.7378603945371776,0.8482549317147192,0.9028831562974203,0.9882397572078907
